"Link","Description","Price","Rating","Review"
"https://amazon.com/Travel-Laptop-Backpack-Charging-Laptops/dp/B07V4R4Z77/ref=sr_1_2?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-2","","25.","4.7 ",NA
"https://amazon.com/NORTH-FACE-Borealis-Commuter-Black-NPF/dp/B0CN9SD8JF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-4","","96.","4.8 ",NA
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","This Taygeer Carry-on Backpack is everything I needed and more! The peacock blue color is vibrant and stylish, making it stand out. It’s incredibly spacious at 35L, with thoughtful compartments that easily fit my laptop, gym essentials, and travel items. The USB charging port is a game-changer for staying connected on the go, and the water-resistant material gives me peace of mind during unpredictable weather. It’s also super comfortable to wear, even when packed full. Whether for a weekend trip, college, or the gym, this bag is perfect. Highly recommend it as a gift or for personal use!"
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","Read more"
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","The Taygeer Travel Laptop Backpack is small but spacious, super cute and stylish, and functional.  The bag is made of durable material and heavy duty zipper.  It can hold the contents of my purse, laptop, personal hygiene items, snacks, travelling documents, pair of clothing and shoe, etc.  I love the multiple compartments which is good to keep things organize.Some other great features are the charging port, which is convenient to use while on the go; the extra shoulder and lower back padding, which can prevent any discomfort that may be cause from items in the bag.  This bag worth the price.Finally, I love the extra strap that can fit perfectly on my hard case carry on. No more heavy weight on the back and also will be easier to maneuver wherever you go."
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","Read more"
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","This travel bag comes with so many compartments that make it perfecto for traveling. It is also easy to carry on the plane and fits perfectly in the overhead of the plane or under the seat in front. I bought the pinkish color and loves it. It is well made too and very affordable."
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","Read more"
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","Update #2 - Ordered a second one for my 14 year old granddaughter. Once she saw mine, she wanted one. Had ordered her a different style and color, which I’d thought would be a better fit for her needs. Amazon filled the order, and not only shopped a totally different style but also color. I’d ordered a pretty light blue because the pink in that company’s suitcase style backpack was a gaudy neon pink, the color they shipped was an ugly brownish grey. She was very disappointed, but is such a good kid would have kept it so I wouldn’t feel bad. Her dad is the one who told me. So I ordered her this pink backpack. It’s arrived and she is much happier. Funny that a 14 year old kid wanted a copy of the same backpack her 78 year old grandma has. As for the ugly one, my husband is happier to carry that color around than a pink one.As for Amazon substituting a completely different style and color for something that was a gift without first letting me know, I am not pleased with them at all.Update:  Used this backpack on a recent flight to visit family. It was exactly what we needed. Flew American Airlines, and it fit under the seat in front of me. It was full but not stuffed.  I put it where the bottom faced toward the front of the plane and the handle at the top of the backpack faced me. That way it was easy to grab hold of and pull out from under the seat. I put a bunch of clothes in a packing cube on the bottom of the backpack with toiletries in 2 zip lock bags plus my purse on top, near the handle. That left my electronics, papers, tickets, ID, and some basic purse type stuff in the zippered pocket in front. Everything fit well, and the packed backpack was much lighter and more comfortable to carry than my previous backpack. Plus it fit under the seat better. As for the pink getting dirty, the little bit that was on it wiped right off.Also, when I showed how this new backpack opens to our 14 and 15 year old granddaughters, they both wanted one. So I ordered a couple more for them. They each travel to their other parent’s homes whenever there is a school break, and like how much easier it will be to access things in the larger storage area. Plus they can pack more clothes. Also, both go out of town occasionally for sports events and these will be great for those times. I don’t think they will keep there regular backpacks for school, and use these for overnights with friends and traveling. I also showed my backpack to a couple of adults, and they were as equally impressed.Favorite feature is it opens like a suitcase. Provides so much more usable space that way. And so much easier to access. Least favorite feature is the zip area for electronics could be better designed and have a little more protective padding. It could have had better pocket design to hold purse type items, to help eliminate the need to also carry a purse. My old backpack has a much more practical design for that, even though it provides about the same amount of space. Also, the inner pockets are done with cheaper quality materials.That said, I still prefer this one. It can easily be adjusted to my 5’2” frame, is lighter in weight which my 78 year old body appreciates, opens up completely so easier to put my packing cubes in, easier for airport security to search if necessary, easier to adjust the items inside and secure so they don’t all slide to the bottom, and the color scheme will make it easier to identify if included with a bunch of other pieces of luggage. My 80 year old husband even admits that he will be willing to carry it for me as it isn’t really “pink” but more a beige color.  If our granddaughter’s didn’t already have a lot of backpacks, I would have ordered them each one. Yes, I definitely recommend it."
"https://amazon.com/Backpack-Women%EF%BC%8CCarry-Approved-15-6inch-Weekender/dp/B09MQWWP87/ref=sr_1_5?dib=eyJ2IjoiMSJ9.j81jf02MzIFB5Eb-wEBqmcVv__XdY2NuA_SD82ofFUSDySj1YWvqMJScPWh_AXVy9CcppMy5YJbf08xz-xYmDkmUeC_MsAuU0JcB-9TZmV2hcM6AMU-s0lLI62RDjkufRuChDrMQhmYQNOzycSJPs5ZC7YZR4tua_CB47lswyVVcg1QTrkcLZEo9mfqWVEMSSUOBeGAt2TRuqUAxnhme9QTsi03JCd6p_FRZ3EZDuy5AeEdIeW9LVwM59fulUJpkDZZiDYkLijUb3DAbxjeE_9Xknrauu5K5wRaKbTM3tvs.SGu6jS5qwG5E6Wg75FkaYvpvJRcqsZfRoHxuwN-HEC4&dib_tag=se&qid=1733912345&s=apparel&sr=1-5","","17.","4.7 ","Read more"
